person_id,panel_id,role,panel_order
lord-william-hague,opening-plenary,speaker,1
monica-gorman,opening-plenary,moderator,2
angela-garcia-calvo,digital-stack,moderator,1
diane-coyle,digital-stack,panelist,2
annabelle-gawer,digital-stack,panelist,3
helena-malikova,digital-stack,panelist,4
mehdi-montakhabi,space-market,moderator,1
paul-bate,space-market,panelist,2
rob-desborough,space-market,panelist,3
nigel-chandler,space-market,panelist,4
raja-roy,space-market,panelist,5
john-gray,drug-shortages,moderator,1
markus-felgenhauer,drug-shortages,panelist,2
damien-holly,drug-shortages,panelist,3
mujaheed-shaikh,drug-shortages,panelist,4
daniel-armanios,infrastructure,moderator,1
alison-baptiste,infrastructure,panelist,2
jim-hall,infrastructure,panelist,3
julia-pyke,infrastructure,panelist,4
chetan-kotur,infrastructure,panelist,5
travis-mosier,semiconductors,moderator,1
sebastian-weiske,semiconductors,panelist,2
john-gray,industry-studies-research,moderator,1
jagjit-srai,global-supply-chains,moderator,1
edward-anderson,global-supply-chains,panelist,2
nitin-joglekar,global-supply-chains,panelist,3
